,PseudoTime1,PseudoTime2
E149_184,0.36768,NA
E560_372,0.74747,NA
E355_483,NA,0.97172
E518_195,NA,0.3899
E93_232,NA,0.46465
E539_150,0.29899,NA
E55_69,NA,0.13535
E584_39,0.07475,NA
E500_436,0.87677,NA
E527_76,0.14949,NA
E216_96,0.1899,NA
E134_425,0.85455,NA
E381_63,NA,0.12323
E354_396,0.79596,NA
E99_281,NA,0.56364
E345_254,NA,0.50909
E84_425,NA,0.85455
E526_23,NA,0.04242
E220_344,NA,0.69091
E313_376,0.75556,NA
E565_83,NA,0.16364
E426_349,0.70101,NA
E566_316,NA,0.63434
E14_112,NA,0.22222
E78_292,NA,0.58586
E336_85,0.16768,NA
E498_133,NA,0.26465
E357_169,0.33737,NA
E39_277,NA,0.55556
E424_53,NA,0.10303
E536_112,NA,0.22222
E295_282,0.56566,NA
E201_449,NA,0.90303
E423_168,NA,0.33535
E235_403,0.8101,NA
E228_297,NA,0.59596
E390_394,NA,0.79192
E523_151,NA,0.30101
E253_122,NA,0.24242
E104_6,0.00808,NA
E439_459,NA,0.92323
E516_462,0.92929,NA
E4_305,NA,0.61212
E330_317,NA,0.63636
E545_422,0.84848,NA
E463_22,NA,0.0404
E511_286,NA,0.57374
E327_91,NA,0.1798
E356_466,NA,0.93737
E482_128,NA,0.25455
E389_452,NA,0.90909
E3_170,NA,0.33939
E332_17,NA,0.0303
E56_473,NA,0.95152
E311_460,0.92525,NA
E183_340,0.68283,NA
E18_319,0.6404,NA
E19_377,0.75758,NA
E458_161,NA,0.32121
E279_131,0.26061,NA
E63_181,NA,0.36162
E340_270,0.54141,NA
E532_328,NA,0.65859
E484_102,NA,0.20202
E298_39,0.07475,NA
E286_303,0.60808,NA
E412_450,NA,0.90505
E280_474,NA,0.95354
E7_207,0.41414,NA
E102_11,0.01818,NA
E212_131,0.26061,NA
E106_105,0.20808,NA
E281_68,0.13333,NA
E364_493,NA,0.99192
E87_488,0.98182,NA
E274_21,NA,0.03838
E133_110,NA,0.21818
E476_32,NA,0.06061
E328_342,0.68687,NA
E10_346,NA,0.69495
E64_379,0.76162,NA
E594_331,NA,0.66465
E303_360,NA,0.72323
E257_482,0.9697,NA
E263_294,NA,0.5899
E559_153,0.30505,NA
E31_119,0.23636,NA
E52_20,NA,0.03636
E349_29,NA,0.05455
E34_202,0.40404,NA
E448_134,NA,0.26667
E89_82,0.16162,NA
E74_27,NA,0.05051
E119_91,0.1798,NA
E488_188,NA,0.37576
E233_420,NA,0.84444
E433_124,NA,0.24646
E495_223,0.44646,NA
E531_15,0.02626,NA
E403_494,0.99394,NA
E107_379,0.76162,NA
E576_311,0.62424,NA
E128_400,0.80404,NA
E41_53,NA,0.10303
E98_2,NA,0.0
E190_455,NA,0.91515
E224_145,0.28889,NA
E62_485,0.97576,NA
E132_108,0.21414,NA
E386_397,0.79798,NA
E254_430,0.86465,NA
E120_355,0.71313,NA
E246_168,NA,0.33535
E251_142,0.28283,NA
E177_100,0.19798,NA
E307_81,0.1596,NA
E159_179,0.35758,NA
E256_285,0.57172,NA
E188_93,NA,0.18384
E368_142,NA,0.28283
E454_111,NA,0.2202
E587_243,NA,0.48687
E481_455,NA,0.91515
E71_447,NA,0.89899
E369_371,NA,0.74545
E359_412,0.82828,NA
E493_109,NA,0.21616
E554_318,NA,0.63838
E207_420,NA,0.84444
E125_270,0.54141,NA
E416_40,0.07677,NA
E436_16,NA,0.02828
E127_374,NA,0.75152
E232_160,NA,0.31919
E206_373,NA,0.74949
E461_225,NA,0.45051
E290_278,NA,0.55758
E92_455,0.91515,NA
E371_210,NA,0.4202
E512_255,NA,0.51111
E598_6,0.00808,NA
E11_223,NA,0.44646
E238_318,0.63838,NA
E529_223,0.44646,NA
E33_434,0.87273,NA
E287_38,0.07273,NA
E509_439,NA,0.88283
E136_35,NA,0.06667
E455_114,NA,0.22626
E170_281,NA,0.56364
E152_330,0.66263,NA
E413_180,0.3596,NA
E351_236,NA,0.47273
E363_156,NA,0.31111
E508_449,NA,0.90303
E557_116,NA,0.2303
E305_430,0.86465,NA
E213_185,0.3697,NA
E167_175,0.34949,NA
E173_228,0.45657,NA
E35_55,NA,0.10707
E597_241,0.48283,NA
E154_467,0.93939,NA
E199_439,0.88283,NA
E346_117,NA,0.23232
E528_86,0.1697,NA
E591_189,0.37778,NA
E226_126,NA,0.25051
E418_274,0.54949,NA
E453_457,0.91919,NA
E111_460,NA,0.92525
E284_495,NA,0.99596
E66_489,NA,0.98384
E320_325,0.65253,NA
E443_355,0.71313,NA
E578_364,0.73131,NA
E301_222,NA,0.44444
E147_184,0.36768,NA
E9_278,0.55758,NA
E21_310,NA,0.62222
E499_84,NA,0.16566
E306_179,NA,0.35758
E20_448,NA,0.90101
E185_482,0.9697,NA
E278_235,0.47071,NA
E255_334,0.67071,NA
E470_248,NA,0.49697
E492_112,NA,0.22222
E209_392,NA,0.78788
E95_205,NA,0.4101
E164_137,0.27273,NA
E145_203,NA,0.40606
E379_349,0.70101,NA
E521_178,0.35556,NA
E549_424,0.85253,NA
E193_326,NA,0.65455
E440_252,NA,0.50505
E49_446,0.89697,NA
E122_425,0.85455,NA
E196_198,NA,0.39596
E296_106,0.2101,NA
E324_469,NA,0.94343
E497_440,NA,0.88485
E22_313,0.62828,NA
E162_221,NA,0.44242
E247_412,NA,0.82828
E76_303,NA,0.60808
E387_94,NA,0.18586
E473_335,0.67273,NA
E302_474,NA,0.95354
E178_363,NA,0.72929
E580_495,0.99596,NA
E504_280,0.56162,NA
E292_248,NA,0.49697
E16_181,0.36162,NA
E203_216,0.43232,NA
E6_76,NA,0.14949
E588_75,0.14747,NA
E94_357,NA,0.71717
E79_423,0.85051,NA
E397_228,0.45657,NA
E530_106,NA,0.2101
E459_80,NA,0.15758
E582_405,NA,0.81414
E490_50,NA,0.09697
E12_165,NA,0.32929
E420_189,0.37778,NA
E179_328,0.65859,NA
E502_266,NA,0.53333
E555_422,NA,0.84848
E197_392,NA,0.78788
E268_497,NA,1.0
E445_103,0.20404,NA
E447_101,0.2,NA
E211_442,NA,0.88889
E202_105,NA,0.20808
E262_246,NA,0.49293
E97_146,NA,0.29091
E229_436,NA,0.87677
E444_37,NA,0.07071
E261_81,0.1596,NA
E103_213,0.42626,NA
E385_219,NA,0.43838
E352_224,NA,0.44848
E27_245,0.49091,NA
E595_59,NA,0.11515
E273_112,0.22222,NA
E380_288,NA,0.57778
E361_222,0.44444,NA
E579_97,NA,0.19192
E59_453,0.91111,NA
E204_344,0.69091,NA
E60_256,0.51313,NA
E568_370,0.74343,NA
E101_456,0.91717,NA
E61_92,0.18182,NA
E258_14,0.02424,NA
E430_411,0.82626,NA
E414_13,0.02222,NA
E112_141,NA,0.28081
E407_282,NA,0.56566
E383_261,NA,0.52323
E483_482,0.9697,NA
E241_446,0.89697,NA
E17_437,0.87879,NA
E13_211,NA,0.42222
E151_340,0.68283,NA
E115_323,0.64848,NA
E239_2,NA,0.0
E150_23,NA,0.04242
E525_189,NA,0.37778
E421_426,0.85657,NA
E140_458,NA,0.92121
E46_215,NA,0.4303
E343_406,0.81616,NA
E300_43,NA,0.08283
E538_176,NA,0.35152
E215_414,NA,0.83232
E264_384,NA,0.77172
E515_324,NA,0.65051
E501_12,0.0202,NA
E69_322,NA,0.64646
E293_202,NA,0.40404
E487_378,NA,0.7596
E471_149,0.29697,NA
E36_52,NA,0.10101
E400_328,0.65859,NA
E596_191,NA,0.38182
E342_178,NA,0.35556
E314_269,0.53939,NA
E271_31,0.05859,NA
E294_482,NA,0.9697
E374_381,NA,0.76566
E198_123,NA,0.24444
E599_155,NA,0.30909
E315_317,0.63636,NA
E465_49,NA,0.09495
E575_320,0.64242,NA
E480_97,0.19192,NA
E510_283,NA,0.56768
E415_264,0.52929,NA
E248_293,NA,0.58788
E242_150,NA,0.29899
E432_7,0.0101,NA
E308_199,NA,0.39798
E406_289,NA,0.5798
E394_18,0.03232,NA
E205_433,NA,0.87071
E225_382,0.76768,NA
E546_85,NA,0.16768
E180_482,0.9697,NA
E285_123,0.24444,NA
E160_249,0.49899,NA
E172_345,0.69293,NA
E5_14,0.02424,NA
E267_455,NA,0.91515
E543_471,NA,0.94747
E214_395,NA,0.79394
E161_15,NA,0.02626
E47_307,NA,0.61616
E337_460,0.92525,NA
E26_402,0.80808,NA
E478_64,NA,0.12525
E81_116,0.2303,NA
E77_436,0.87677,NA
E53_224,NA,0.44848
E144_369,0.74141,NA
E370_141,0.28081,NA
E451_448,0.90101,NA
E165_403,NA,0.8101
E534_139,0.27677,NA
E398_257,0.51515,NA
E38_49,NA,0.09495
E350_413,0.8303,NA
E277_266,0.53333,NA
E156_230,NA,0.46061
E195_234,0.46869,NA
E297_329,0.66061,NA
E1_445,0.89495,NA
E90_373,0.74949,NA
E200_146,0.29091,NA
E272_328,NA,0.65859
E477_102,NA,0.20202
E222_294,0.5899,NA
E466_125,NA,0.24848
E561_255,NA,0.51111
E187_444,0.89293,NA
E567_426,0.85657,NA
E105_43,0.08283,NA
E155_229,NA,0.45859
E411_247,0.49495,NA
E323_299,NA,0.6
E8_82,NA,0.16162
E310_458,0.92121,NA
E585_118,0.23434,NA
E142_204,NA,0.40808
E446_461,NA,0.92727
E194_417,0.83838,NA
E479_40,NA,0.07677
E325_46,0.08889,NA
E82_62,NA,0.12121
E58_152,NA,0.30303
E503_167,0.33333,NA
E550_233,0.46667,NA
E291_424,NA,0.85253
E176_214,NA,0.42828
E0_235,NA,0.47071
E259_482,0.9697,NA
E494_42,NA,0.08081
E319_457,NA,0.91919
E437_198,0.39596,NA
E427_286,NA,0.57374
E45_270,0.54141,NA
E344_169,NA,0.33737
E141_124,0.24646,NA
E230_119,NA,0.23636
E429_87,NA,0.17172
E250_386,0.77576,NA
E376_405,0.81414,NA
E218_209,0.41818,NA
E577_94,NA,0.18586
E366_165,NA,0.32929
E129_264,NA,0.52929
E399_86,NA,0.1697
E192_488,NA,0.98182
E67_310,0.62222,NA
E581_242,0.48485,NA
E589_5,0.00606,NA
E569_9,0.01414,NA
E434_430,0.86465,NA
E28_134,NA,0.26667
E456_15,0.02626,NA
E572_70,NA,0.13737
E266_82,NA,0.16162
E117_160,NA,0.31919
E505_182,0.36364,NA
E375_165,NA,0.32929
E404_405,0.81414,NA
E25_19,0.03434,NA
E113_458,0.92121,NA
E402_196,0.39192,NA
E184_111,NA,0.2202
E331_118,NA,0.23434
E231_173,0.34545,NA
E513_176,NA,0.35152
E110_227,NA,0.45455
E130_342,0.68687,NA
E519_395,0.79394,NA
E123_416,NA,0.83636
E326_319,NA,0.6404
E282_215,NA,0.4303
E367_228,NA,0.45657
E166_31,0.05859,NA
E365_315,NA,0.63232
E428_372,0.74747,NA
E362_494,0.99394,NA
E524_403,NA,0.8101
E168_63,0.12323,NA
E208_332,0.66667,NA
E540_490,NA,0.98586
E265_9,NA,0.01414
E537_453,0.91111,NA
E75_16,NA,0.02828
E276_50,NA,0.09697
E57_134,0.26667,NA
E353_328,0.65859,NA
E401_363,NA,0.72929
E252_196,NA,0.39192
E457_98,NA,0.19394
E348_452,NA,0.90909
E410_473,0.95152,NA
E121_365,NA,0.73333
E392_476,0.95758,NA
E186_313,0.62828,NA
E333_6,NA,0.00808
E339_354,0.71111,NA
E217_223,NA,0.44646
E83_329,NA,0.66061
E506_33,NA,0.06263
E556_232,NA,0.46465
E116_181,NA,0.36162
E146_100,NA,0.19798
E384_108,0.21414,NA
E541_99,0.19596,NA
E496_411,0.82626,NA
E372_65,0.12727,NA
E219_122,0.24242,NA
E318_2,0.0,NA
E573_203,0.40606,NA
E590_220,NA,0.4404
E68_491,0.98788,NA
E347_366,0.73535,NA
E189_326,0.65455,NA
E391_63,NA,0.12323
E449_301,0.60404,NA
E30_382,NA,0.76768
E425_485,0.97576,NA
E417_115,0.22828,NA
E535_76,NA,0.14949
E80_453,NA,0.91111
E586_10,NA,0.01616
E460_433,NA,0.87071
E360_275,0.55152,NA
E409_347,NA,0.69697
E109_261,0.52323,NA
E378_220,NA,0.4404
E50_339,NA,0.68081
E23_442,NA,0.88889
E485_468,0.94141,NA
E491_73,NA,0.14343
E396_311,0.62424,NA
E312_493,0.99192,NA
E182_167,NA,0.33333
E24_70,NA,0.13737
E474_73,NA,0.14343
E243_299,NA,0.6
E517_388,NA,0.7798
E100_427,0.85859,NA
E148_100,NA,0.19798
E393_66,NA,0.12929
E86_143,NA,0.28485
E227_31,NA,0.05859
E234_492,0.9899,NA
E42_110,0.21818,NA
E304_119,NA,0.23636
E309_476,NA,0.95758
E244_164,0.32727,NA
E334_148,NA,0.29495
E553_66,NA,0.12929
E157_49,NA,0.09495
E574_451,NA,0.90707
E382_13,0.02222,NA
E108_236,NA,0.47273
E240_74,NA,0.14545
E15_199,NA,0.39798
E181_27,NA,0.05051
E260_167,NA,0.33333
E442_240,NA,0.48081
E452_107,0.21212,NA
E249_132,NA,0.26263
